1223,1,Portocaliu,2,15.02,19.02

4550,6,Negru,4,13.02,19.02

118,2,Popescu,1,16.02,21.02

9948,3,Ionescu,3,13.02,15.03

4445,4,Berindean,2,12.02,19.02

4531,1,Smith,1,20.02,18.03

7939,1,Marian,2,19.03,01.04

8890,3,Liliac,4,20.03,22.03

9567,3,Bodnar,4,23.03,25.04

8056,4,Vasilescu,2,20.02,27.02

1301,1,Lolec,2,09.12,13.12

6980,1,Hssjdh,1,19.05,21.05

2812,2,dhsbsd,1,19.05,21.05

4260,3,sdhsdbha,1,19.05,21.05

4303,1,Hbsabd,1,12.01,13.01

4489,1,Bgbgb,1,31.01,01.02

9373,1,hbdahsb,1,01.01,02.01
